ReT,V
51.913,9.67635e-08
51.915,9.71021e-08
51.917,9.74407e-08
51.919,9.77791e-08
51.921,9.81173e-08
51.923,9.84555e-08
51.925,9.87936e-08
51.927,9.91316e-08
51.929,9.94694e-08
51.9311,9.98072e-08
51.9331,1.00145e-07
51.9351,1.00482e-07
51.9371,1.0082e-07
51.9391,1.01157e-07
51.9411,1.01494e-07
51.9431,1.01831e-07
51.9451,1.02168e-07
51.9471,1.02505e-07
51.9491,1.02842e-07
51.9511,1.03179e-07
51.9531,1.03515e-07
51.9551,1.03852e-07
51.9571,1.04188e-07
51.9591,1.04524e-07
51.9611,1.04861e-07
51.9631,1.05197e-07
51.9651,1.05533e-07
51.9671,1.05868e-07
51.9691,1.06204e-07
51.9711,1.0654e-07
51.9731,1.06875e-07
51.9751,1.07211e-07
51.9771,1.07546e-07
51.9791,1.07881e-07
51.9811,1.08216e-07
51.9831,1.08551e-07
51.9851,1.08886e-07
51.9871,1.09221e-07
51.9891,1.09555e-07
51.9911,1.0989e-07
51.9931,1.10224e-07
51.9951,1.10559e-07
51.9971,1.10893e-07
51.9991,1.11227e-07
52.0011,1.11561e-07
52.0031,1.11895e-07
52.0051,1.12229e-07
52.0071,1.12562e-07
52.0091,1.12896e-07
52.0111,1.13229e-07
52.0131,1.13563e-07
52.0151,1.13896e-07
52.0171,1.14229e-07
52.0191,1.14562e-07
52.0211,1.14895e-07
52.0231,1.15228e-07
52.0251,1.15561e-07
52.0271,1.15893e-07
52.0291,1.16226e-07
52.0312,1.16558e-07
52.0332,1.16891e-07
52.0352,1.17223e-07
52.0372,1.17555e-07
52.0392,1.17887e-07
52.0412,1.18219e-07
52.0432,1.1855e-07
52.0452,1.18882e-07
52.0472,1.19214e-07
52.0492,1.19545e-07
52.0512,1.19877e-07
52.0532,1.20208e-07
52.0552,1.20539e-07
52.0572,1.2087e-07
52.0592,1.21201e-07
52.0612,1.21532e-07
52.0632,1.21862e-07
52.0652,1.22193e-07
52.0672,1.22523e-07
52.0692,1.22854e-07
52.0712,1.23184e-07
52.0732,1.23514e-07
52.0752,1.23844e-07
52.0772,1.24174e-07
52.0792,1.24504e-07
52.0812,1.24834e-07
52.0832,1.25164e-07
52.0852,1.25493e-07
52.0872,1.25823e-07
52.0892,1.26152e-07
52.0912,1.26481e-07
52.0932,1.2681e-07
52.0952,1.27139e-07
52.0972,1.27468e-07
52.0992,1.27797e-07
52.1012,1.28126e-07
52.1032,1.28454e-07
52.1052,1.28783e-07
52.1072,1.29111e-07
52.1092,1.2944e-07
52.1112,1.29768e-07
52.1132,1.30096e-07
52.1152,1.30424e-07
52.1172,1.30752e-07
52.1192,1.3108e-07
52.1212,1.31407e-07
52.1232,1.31735e-07
52.1252,1.32062e-07
52.1272,1.3239e-07
52.1292,1.32717e-07
52.1313,1.33044e-07
52.1333,1.33371e-07
52.1353,1.33698e-07
52.1373,1.34025e-07
52.1393,1.34351e-07
52.1413,1.34678e-07
52.1433,1.35004e-07
52.1453,1.35331e-07
52.1473,1.35657e-07
52.1493,1.35983e-07
52.1513,1.36309e-07
52.1533,1.36635e-07
52.1553,1.36961e-07
52.1573,1.37287e-07
52.1593,1.37613e-07
52.1613,1.37938e-07
52.1633,1.38264e-07
52.1653,1.38589e-07
52.1673,1.38914e-07
52.1693,1.3924e-07
52.1713,1.39565e-07
52.1733,1.3989e-07
52.1753,1.40214e-07
52.1773,1.40539e-07
52.1793,1.40864e-07
52.1813,1.41188e-07
52.1833,1.41513e-07
52.1853,1.41837e-07
52.1873,1.42161e-07
52.1893,1.42485e-07
52.1913,1.42809e-07
52.1933,1.43133e-07
52.1953,1.43457e-07
52.1973,1.43781e-07
52.1993,1.44104e-07
52.2013,1.44428e-07
52.2033,1.44751e-07
52.2053,1.45074e-07
52.2073,1.45398e-07
52.2093,1.45721e-07
52.2113,1.46044e-07
52.2133,1.46367e-07
52.2153,1.46689e-07
52.2173,1.47012e-07
52.2193,1.47334e-07
52.2213,1.47657e-07
52.2233,1.47979e-07
52.2253,1.48302e-07
52.2273,1.48624e-07
52.2294,1.48946e-07
52.2314,1.49268e-07
52.2334,1.49589e-07
52.2354,1.49911e-07
52.2374,1.50233e-07
52.2394,1.50554e-07
52.2414,1.50876e-07
52.2434,1.51197e-07
52.2454,1.51518e-07
52.2474,1.51839e-07
52.2494,1.5216e-07
52.2514,1.52481e-07
52.2534,1.52802e-07
52.2554,1.53123e-07
52.2574,1.53443e-07
52.2594,1.53764e-07
52.2614,1.54084e-07
52.2634,1.54404e-07
52.2654,1.54725e-07
52.2674,1.55045e-07
52.2694,1.55365e-07
52.2714,1.55685e-07
52.2734,1.56004e-07
52.2754,1.56324e-07
52.2774,1.56644e-07
52.2794,1.56963e-07
52.2814,1.57282e-07
52.2834,1.57602e-07
52.2854,1.57921e-07
52.2874,1.5824e-07
52.2894,1.58559e-07
52.2914,1.58878e-07
52.2934,1.59196e-07
52.2954,1.59515e-07
52.2974,1.59834e-07
52.2994,1.60152e-07
52.3014,1.6047e-07
52.3034,1.60789e-07
52.3054,1.61107e-07
52.3074,1.61425e-07
52.3094,1.61743e-07
52.3114,1.6206e-07
52.3134,1.62378e-07
52.3154,1.62696e-07
52.3174,1.63013e-07
52.3194,1.63331e-07
52.3214,1.63648e-07
52.3234,1.63965e-07
52.3254,1.64282e-07
52.3274,1.64599e-07
52.3295,1.64916e-07
52.3315,1.65233e-07
52.3335,1.6555e-07
52.3355,1.65866e-07
52.3375,1.66183e-07
52.3395,1.66499e-07
52.3415,1.66815e-07
52.3435,1.67132e-07
52.3455,1.67448e-07
52.3475,1.67764e-07
52.3495,1.6808e-07
52.3515,1.68395e-07
52.3535,1.68711e-07
52.3555,1.69027e-07
52.3575,1.69342e-07
52.3595,1.69657e-07
52.3615,1.69973e-07
52.3635,1.70288e-07
52.3655,1.70603e-07
